Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
952770;abrdn SICAV I - European Sustainable Equity Fund I Acc EUR;  26254,74;26251,20;2026-08-31
848069;abrdn SICAV I - Future Global Equity Fund;    105,65;  105,63;2026-08-28
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    198,65;  198,62;2026-08-31
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     76,65;   76,64;2026-08-31
900894;abrdn SICAV I - Select Euro High Yield Bond A;    317,73;  317,69;2026-08-31
182584;Aktia Capital Placeringsfond B;     71,83;   71,82;2026-08-31
308908;Aktie-Ansvar Avkastningsfond A;    132,96;  132,96;2026-08-31
392241;Aktiespararna Småbolag Edge B;    114,97;  114,97;2026-08-31
290072;Aktiespararna Topp Sverige;     42,66;   42,66;2026-08-31
147348;Alfred Berg Aktiv R;   4371,36; 4369,66;2026-08-31
183178;Alfred Berg Norge C;   2510,96; 2509,98;2026-08-31
933359;Allianz China A-shares AT;    159,03;  159,01;2026-08-31
753731;Allianz China Equity A;    638,29;  638,19;2026-08-31
717900;Allianz Euro High Yield Bond A;   1254,53; 1254,36;2026-08-28
273839;Allianz Global Equity Growth AT;    119,96;  119,94;2026-08-31
502922;Allianz Global Metals and Mining A;   1214,28; 1214,12;2026-08-31
878694;Allianz Global Water AT;   1938,69; 1938,43;2026-08-31
309666;Allianz Pet and Animal Wellbeing AT;     67,95;   67,94;2026-08-31
823096;AMF Aktiefond Asien Stilla Havet;    461,66;  461,66;2026-08-31
538462;AMF Aktiefond Europa;    449,92;  449,92;2026-08-31
908277;AMF Aktiefond Global;    483,12;  483,12;2026-08-31
520692;AMF Aktiefond Nordamerika;    839,82;  839,82;2026-08-31
269357;AMF Aktiefond Småbolag;   1252,38; 1252,38;2026-08-31
681783;AMF Aktiefond Sverige;   1157,86; 1157,86;2026-08-31
645952;AMF Aktiefond Världen;    896,74;  896,74;2026-08-31
610121;AMF Balansfond;    486,81;  486,81;2026-08-31
305185;AMF Räntefond Kort;    125,15;  125,15;2026-08-31
574293;AMF Räntefond Lång;    160,04;  160,04;2026-08-31
265512;AMF Räntefond Mix;    117,21;  117,21;2026-08-31
791863;Amundi Funds Global Equity Conservative A2;   1490,01; 1489,77;2026-08-28
174490;Amundi Funds Japan Equity Value A2;   1783,66; 1783,36;2026-08-28
756031;Amundi Funds Latin America Equity A2;   7416,32; 7415,15;2026-08-28
720201;Amundi Funds SBI FM India Equity A2;   3647,51; 3646,94;2026-08-28
863522;Amundi Funds Volatility World A2;   1010,92; 1010,76;2026-08-28
581371;AP7 Aktiefond;    966,00;  966,00;2026-08-31
545541;AP7 Räntefond;    119,25;  119,25;2026-08-31
715955;Avanza Emerging Markets;    195,33;  195,33;2026-08-28
734491;Avanza Zero ;    573,54;  573,54;2026-08-31
477729;Baring Asia Growth A;   1863,51; 1863,21;2026-08-28
191080;Baring Global Emerging Markets A;    675,02;  674,92;2026-08-28
262741;Baring Global Resources A;    345,70;  345,65;2026-08-28
334409;Baring Hong Kong China A;  12145,97;12144,06;2026-08-28
235291;Baring Latin America A;    419,68;  419,61;2026-08-28
285990;BL - American Small & Mid Caps B;   2235,48; 2235,13;2026-08-28
551804;BL - Bond Dollar B;    900,57;  900,43;2026-08-28
153833;BL - Emerging Markets B;   2438,68; 2438,35;2026-08-28
300996;BL - Equities America B;   1199,34; 1199,15;2026-08-28
321828;BL - Equities Asia B;   1416,50; 1416,28;2026-08-28
118000;BL - Equities Dividend B;   2887,04; 2886,65;2026-08-28
142679;BL - Equities Japan B;   2165,02; 2164,66;2026-08-28
480145;BL - Global 30 B;   1385,77; 1385,58;2026-08-28
444315;BL - Global 50 B;   1482,10; 1481,89;2026-08-28
408484;BL - Global 75 B;   1539,96; 1539,75;2026-08-28
515973;BL - Global Bond Opportunities B;   1080,73; 1080,58;2026-08-28
320358;BL - Global Equities B;   1494,29; 1494,09;2026-08-28
647669;BL - Global Flexible B;   2814,77; 2814,39;2026-08-28
214338;BL - Global Flexible USD B;   1997,84; 1997,53;2026-08-28
608463;BlackRock - Asian Dragon Fund A2;    718,13;  718,02;2026-08-31
391896;BlackRock - China A2;    189,23;  189,20;2026-08-31
231100;BlackRock - Emerging Markets A2;    562,69;  562,60;2026-08-31
302760;BlackRock - Global Allocation A2;    954,76;  954,61;2026-08-31
572637;BlackRock - Global High Yield Bond Fund A2;    329,80;  329,75;2026-08-31
768499;BlackRock - India A2;    502,43;  502,35;2026-08-31
159442;BlackRock - Japan Small & MidCap A2;   1083,34; 1083,17;2026-08-31
661066;BlackRock - Latin American A2;    773,79;  773,67;2026-08-31
536806;BlackRock - Natural Resources Growth & Income Fund A2;    190,18;  190,16;2026-08-31
553578;BlackRock - Sustainable Energy A2;    224,73;  224,69;2026-08-31
768556;BlackRock - US Basic Value A2;   1717,42; 1717,15;2026-08-31
804385;BlackRock - US Flexible Equity A2;    971,65;  971,50;2026-08-31
625236;BlackRock - US Mid-Cap Value Fund A2;   4553,88; 4553,17;2026-08-31
517748;BlackRock - World Energy A2;    357,82;  357,76;2026-08-31
410258;BlackRock - World Financials A2;    791,83;  791,71;2026-08-31
338590;BlackRock - World Gold A2;   1082,58; 1082,41;2026-08-31
374421;BlackRock - World Healthscience A2;    758,53;  758,41;2026-08-31
481911;BlackRock - World Mining A2;   1146,29; 1146,11;2026-08-31
644294;BlackRock - World Real Estate Securities Fund A2;    169,65;  169,62;2026-08-31
446088;BlackRock - World Technology A2;   1397,70; 1397,48;2026-08-31
422709;BMC Global Select fund;    415,64;  415,64;2026-08-31
408062;C WorldWide Asia 1A;   3267,49; 3266,98;2026-08-31
515554;C WorldWide Global Equities 1A;   2370,88; 2370,51;2026-08-31
479725;C WorldWide Global Equities Ethical 1A;    423,23;  423,17;2026-08-31
443895;C WorldWide Healthcare Select 1A;   1606,91; 1606,70;2026-08-31
721035;C WorldWide Sweden Small Cap 1A;    796,54;  796,54;2026-08-31
320176;Carnegie Fastighetsfond Norden A;    443,86;  443,86;2026-08-31
505586;Carnegie Indienfond A;    731,99;  731,99;2026-08-31
214163;Carnegie Likviditetsfond A;   1371,01; 1371,01;2026-08-31
341362;Carnegie Listed Private Equity A;    738,88;  738,88;2026-08-31
554691;Carnegie Obligationsfond A;    989,09;  989,09;2026-08-31
584912;Carnegie Småbolagsfond A;    844,45;  844,45;2026-08-31
357483;Carnegie Strategifond A;   2619,88; 2619,88;2026-08-31
393314;Carnegie Sverigefond A;   6170,49; 6170,49;2026-08-31
976506;CB Save Earth Fund RC;    287,53;  287,49;2026-08-28
384750;Cicero Avkastning A;    143,91;  143,91;2026-08-31
959502;Cicero Hållbar Mix A;    209,79;  209,79;2026-08-31
356410;Cliens Småbolag ;   3249,06; 3249,06;2026-08-31
423822;Cliens Sverige;   1115,48; 1115,48;2026-08-31
386870;Coeli High Yield Opportunities;    130,22;  130,22;2026-08-31
330324;CPR Invest Global Gold Mines A2;   2428,38; 2427,99;2026-08-28
366154;CPR Invest Global Lifestyles A2;   1176,39; 1176,20;2026-08-28
291906;D&G Aktiefond;   4865,79; 4865,79;2026-08-31
541235;D&G Global All Cap;    457,02;  457,02;2026-08-31
140491;D&G Småbolag;   1236,78; 1236,78;2026-08-31
829945;Danske Invest SICAV - Aktiv Förmögenhetsförvaltning SI;   4718,55; 4718,55;2026-08-31
408898;Danske Invest SICAV - Euro Investment Grade Corporate Bond A;    166,38;  166,38;2026-08-28
571399;Danske Invest SICAV - Europe Small Cap A;    191,89;  191,89;2026-08-28
865774;Danske Invest SICAV - Sverige Kort Ränta SI;   1350,93; 1350,93;2026-08-31
901603;Danske Invest SICAV - Sverige Ränta SI;   1186,76; 1186,76;2026-08-31
463901;Danske Invest SICAV Sverige Småbolag Class SI;    222,22;  222,22;2026-08-28
184580;Delphi Global A2;   2670,02; 2670,02;2026-08-28
326660;DNB Global Emerging Markets S;    170,15;  170,15;2026-08-28
255001;DNB Health Care S;    183,77;  183,77;2026-08-28
290833;DNB SMB S;    186,20;  186,20;2026-08-28
183343;DNB Teknologi S;    273,49;  273,49;2026-08-28
623637;East Capital Global Emerging Markets Sustainable A;    399,40;  399,40;2026-08-31
870907;East Capital Global Frontier Markets A;    314,34;  314,34;2026-08-28
664482;Evli Corporate Bond Placeringsfonden B ;   1471,55; 1471,55;2026-08-28
229625;Evli Emerging Markets Credit Placeringsfonden B;   1383,69; 1383,50;2026-08-28
570044;Evli Finland Select Placeringsfonden B;    889,14;  889,01;2026-08-28
367987;Evli GEM Placeringsfonden B;   2855,94; 2855,55;2026-08-28
793109;Evli Global Placeringsfonden B;   4697,23; 4697,23;2026-08-28
700310;Evli High Yield Placeringsfonden B;   1970,96; 1970,96;2026-08-27
574582;Evli Likviditet Placeringsfonden B;   1209,48; 1209,48;2026-08-28
621631;Evli Short Corporate Bond Placeringsfonden B;    372,01;  371,96;2026-08-28
420463;Evli Sverige Småbolag;   8439,03; 8439,03;2026-08-28
850776;Fidelity - America Fund A;    505,45;  505,38;2026-08-31
